Species	accD	atpA	atpB	atpE	atpF	atpH	atpI	ccsA	cemA	chlB	chlL	chlN	clpP	cysA	cysT	infA	matK	ndhA	ndhB	ndhC	ndhD	ndhE	ndhF	ndhG	ndhH	ndhI	ndhJ	ndhK	petA	petB	petD	petG	petL	petN	psaA	psaB	psaC	psaI	psaJ	psaM	psbA	psbB	psbC	psbD	psbE	psbF	psbH	psbI	psbJ	psbK	psbL	psbM	psbN	psbT	psbZ	rbcL	rpl14	rpl16	rpl2	rpl20	rpl21	rpl22	rpl23	rpl32	rpl33	rpl36	rpoA	rpoB	rpoC1	rpoC2	rps11	rps12	rps14	rps15	rps16	rps18	rps19	rps2	rps3	rps4	rps7	rps8	ycf1	ycf12	ycf2	ycf3	ycf4	ycf66
3248	304	507	493	134	141	82	249	54	501	511	292	478	218	0	0	72	484	363	500	105	478	141	704	178	389	168	173	250	320	213	157	38	0	0	751	735	81	31	23	0	354	503	473	354	84	40	74	0	39	53	39	35	44	26	63	476	121	145	278	115	93	120	85	56	61	37	94	1062	679	1389	131	106	81	89	0	57	92	237	219	203	156	133	1359	34	948	169	182	69
3251	309	504	493	113	141	81	301	67	356	511	291	458	198	0	0	70	526	340	432	105	561	78	684	195	391	184	170	239	314	211	156	33	0	0	751	735	75	37	39	33	354	509	473	354	114	34	73	0	35	55	0	0	44	36	62	476	108	136	263	88	107	138	92	60	52	0	0	892	679	1285	131	117	98	76	0	59	84	237	219	197	154	133	1237	26	952	162	178	0
3252	307	498	479	134	130	52	249	43	410	491	266	451	194	0	40	70	449	300	461	103	487	101	663	169	392	141	139	252	320	213	148	35	0	0	751	735	82	35	0	0	346	503	473	354	84	32	59	0	0	48	39	0	42	0	61	456	107	145	246	129	117	120	75	0	65	0	0	1013	681	1199	122	199	79	89	0	43	93	237	208	189	152	114	1227	0	902	163	174	58
3306	308	503	493	134	141	82	249	39	520	506	292	476	175	0	57	70	514	331	407	124	595	81	708	190	425	173	165	249	320	200	157	33	0	0	751	735	77	37	31	25	354	506	474	354	84	40	74	0	33	56	39	35	44	36	63	476	112	145	267	117	114	120	92	43	65	26	0	1052	679	1355	131	115	100	89	0	51	93	237	212	195	151	133	1663	0	1179	163	181	57
3362	171	445	315	102	48	0	185	0	82	448	127	336	67	0	0	31	0	69	154	41	356	32	270	55	198	172	29	151	258	141	94	33	0	0	696	602	0	0	0	0	354	336	313	325	83	0	27	0	0	0	0	26	0	32	49	435	32	136	40	76	0	26	30	0	0	0	0	662	436	561	151	71	0	0	0	33	31	231	47	0	0	71	565	0	317	29	34	0
3371	312	508	493	134	162	82	243	0	455	508	292	459	194	0	0	71	599	321	481	106	494	80	669	171	387	152	173	250	320	213	158	33	0	0	751	732	82	0	41	0	354	509	474	354	81	35	74	0	37	0	39	0	44	0	59	476	119	145	275	118	117	120	85	24	61	0	41	1060	665	1321	131	119	63	89	0	54	93	237	219	196	147	130	1364	0	1082	121	178	42
3384	306	495	493	134	185	74	249	0	460	509	292	473	198	0	33	61	490	325	430	122	492	76	707	173	385	184	157	251	320	215	159	35	0	0	751	735	80	29	40	30	354	509	474	354	84	40	74	0	26	54	39	35	44	36	63	475	155	145	278	105	112	120	87	44	64	38	33	975	661	1266	124	167	84	89	0	99	84	237	219	197	145	133	1517	30	1013	169	174	113
3385	303	604	486	130	183	82	249	0	558	511	295	472	206	39	95	138	461	369	419	124	451	64	701	176	389	155	170	214	304	213	157	0	0	0	751	735	82	0	43	0	354	508	470	354	84	40	62	30	0	44	0	31	0	25	52	476	106	145	278	96	81	94	90	26	42	0	0	1033	666	1147	112	121	172	56	0	72	92	237	220	193	155	149	1298	26	581	164	180	159
3397	305	505	492	134	184	71	249	111	468	508	292	450	192	0	0	70	436	331	400	122	500	70	711	170	392	164	101	238	320	211	133	38	0	0	751	735	81	0	43	27	352	509	473	354	84	40	74	0	41	46	39	26	44	32	57	476	122	145	272	117	96	120	90	46	56	27	0	1021	675	1327	123	123	82	91	0	86	93	237	219	203	147	127	1273	28	1211	168	183	53
3398	311	464	490	132	128	71	249	0	377	502	280	474	194	0	0	75	447	333	408	113	486	80	693	158	366	169	172	249	320	204	148	35	0	0	751	735	82	0	43	0	354	502	474	354	84	37	74	0	25	59	35	34	44	0	57	476	120	133	278	116	117	120	82	49	56	29	0	1038	675	1312	131	141	88	80	0	79	77	237	177	192	150	133	1341	26	964	198	185	111
3402	313	508	493	134	129	81	235	0	436	495	284	449	167	0	43	68	394	362	380	118	475	98	678	222	390	161	173	230	320	213	148	28	0	0	751	735	78	0	43	0	354	509	473	354	84	29	74	0	33	30	36	31	33	32	62	476	107	145	280	99	100	120	33	47	35	38	0	940	678	1408	131	103	83	59	0	41	64	237	198	201	212	133	1377	34	849	152	185	44
3406	201	505	447	132	138	0	237	59	136	388	196	500	170	0	0	36	297	184	339	27	444	82	173	155	276	134	122	297	313	156	98	0	0	0	773	707	80	0	29	0	338	490	313	362	84	0	40	0	27	33	24	31	0	0	42	469	114	86	243	33	0	52	68	0	0	0	0	934	496	960	117	89	84	60	0	65	64	237	134	176	126	117	686	0	759	102	0	0
3408	281	492	476	134	119	82	249	0	270	502	232	452	179	40	0	65	410	325	317	88	472	43	618	150	390	162	171	251	322	213	156	29	0	0	751	720	82	0	0	0	337	485	475	354	84	40	72	0	34	0	20	33	43	23	58	453	123	125	278	81	106	67	70	0	48	0	0	793	769	1209	109	136	111	59	0	34	93	237	207	161	140	130	982	0	976	180	182	39
3420	305	506	476	134	137	82	249	31	404	508	286	468	188	0	33	63	375	311	465	96	472	34	666	112	392	184	166	238	325	213	147	0	0	0	751	725	69	0	31	24	348	503	474	354	84	40	65	0	35	55	39	0	44	30	61	474	104	138	277	88	115	104	48	60	66	0	0	949	664	1252	131	111	62	57	0	50	93	237	214	199	124	109	1198	0	888	164	173	71
3422	313	495	493	134	134	82	249	32	443	502	292	457	198	0	0	79	429	370	430	117	494	95	670	155	392	262	172	246	301	213	154	29	0	0	751	735	81	0	43	0	350	485	474	354	84	40	74	0	32	38	0	35	38	25	63	468	115	145	274	105	107	112	88	32	39	37	0	1005	641	1142	124	103	74	89	0	43	77	237	216	198	150	123	1203	0	1096	159	174	86
3428	301	503	493	134	124	82	249	0	272	511	292	475	193	0	0	70	400	333	410	124	477	41	708	171	380	219	164	216	302	213	156	33	0	0	751	735	82	37	0	0	354	492	473	354	84	40	74	0	37	0	39	35	31	36	63	475	90	145	278	116	116	198	92	43	66	38	33	1067	679	1292	127	123	76	89	0	41	90	330	209	202	156	132	1353	0	951	159	167	60
3503	271	440	459	43	49	71	230	29	206	369	153	308	109	33	0	187	132	258	218	40	290	37	320	119	304	197	149	171	228	177	110	0	0	0	689	697	83	0	0	0	352	463	421	353	84	24	37	0	0	0	0	0	0	24	33	477	101	131	211	103	104	145	33	0	33	0	0	709	380	731	47	104	55	39	0	25	60	235	125	129	136	0	456	0	231	59	113	0
3504	304	508	493	134	249	79	249	0	457	509	292	451	197	0	85	62	543	323	396	123	486	131	692	175	383	149	150	250	320	213	157	38	0	0	751	735	82	0	29	0	354	505	473	354	84	40	74	0	27	32	23	31	42	29	62	476	123	145	278	105	112	120	92	52	55	27	0	1042	679	1061	122	123	98	87	0	66	77	237	195	199	146	132	1314	26	1179	166	183	63
3506	313	443	493	134	141	82	249	0	374	514	255	486	168	0	0	68	432	368	431	124	487	77	713	175	392	184	145	219	303	215	158	0	0	0	751	735	76	26	43	0	354	502	473	354	84	32	64	0	29	32	35	33	44	0	47	476	115	137	278	117	100	110	99	42	66	0	32	1006	664	1099	122	114	38	89	0	114	64	237	213	186	149	129	1182	29	1010	120	180	113
3507	284	508	493	134	138	71	243	0	438	511	292	548	166	45	0	79	464	354	455	124	487	137	634	172	392	177	172	224	320	213	133	0	0	0	751	735	80	37	38	0	353	507	473	354	84	37	73	0	0	56	39	35	37	30	58	474	123	133	278	117	117	120	91	37	58	0	32	1044	652	1342	118	197	80	57	0	70	77	237	215	197	154	133	1516	29	839	171	191	85
3510	305	508	481	134	141	61	249	80	441	508	292	475	229	67	43	78	512	363	431	115	498	101	659	165	392	201	172	236	320	192	157	38	0	0	751	735	63	37	38	0	325	509	473	354	84	40	68	0	40	48	39	29	44	0	61	474	123	197	278	117	101	113	92	54	43	23	0	1049	679	1249	124	158	95	74	0	76	92	237	212	196	152	133	1387	0	944	166	181	28
3511	310	508	490	134	141	82	245	0	394	511	297	455	170	0	33	72	595	330	459	124	499	70	710	172	392	263	154	250	276	215	149	25	0	0	751	735	47	35	30	0	354	509	474	354	84	40	59	0	33	56	39	34	24	0	63	476	106	145	276	161	103	120	97	31	58	29	34	1064	679	1255	130	122	98	66	0	68	93	237	219	199	148	132	1203	0	953	104	182	0
4846	239	497	493	100	219	56	223	0	294	491	278	382	168	0	0	71	266	261	411	79	383	65	641	118	376	135	154	189	285	213	135	27	0	0	723	729	72	0	41	0	349	507	474	354	123	31	66	0	0	24	28	34	23	0	63	468	110	134	196	0	97	31	28	0	45	0	0	962	602	778	112	123	33	51	0	33	54	237	202	164	158	133	880	0	630	51	99	44
